Type,ID,Points,Question,Correct Answer,Choice 1,Choice 2,Choice 3,Choice 4,Choice 5,Choice 6,Choice 7,Choice 8,Choice 9,Choice 10,Explanation
MC,633461,"","
<p>What does the following Java code print?</p>
<pre lang=""text/x-java"">int sum=0;
for (int i=1; i&lt;=5; i++) {
   sum += i;
}
System.out.println(sum);
</pre>
",D,<p>0</p>,<p>5</p>,<p>10</p>,<p>15</p>,<p>20</p>,"","","","","",<p>This is basically 1 + 2 + 3 + 4 + 5</p>
MC,633462,"","
<p>What does the following Java code print?</p>
<pre lang=""text/x-java"">int sum=0;
for (int i=0; i&lt;10; i+=4) {
   sum += i;
}
System.out.println(sum);
</pre>
",C,<p>4</p>,<p>8</p>,<p>12</p>,<p>16</p>,<p>20</p>,"","","","","",<p>0 + 4 + 8</p>
MC,633463,"","
<p>What does the following Java code print?</p>
<pre lang=""text/x-java"">int sum=0;
for (int i=0; i&gt;100; i++) {
   sum += i;
}
System.out.println(sum);
</pre>
",A,<p>0</p>,<p>100</p>,<p>0 + 1 + 2 + ... + 99 + 100</p>,<p>0 + 1 + 2 + ... + 98 + 99</p>,<p>none of the above</p>,"","","","","","<p>This is a trick question!&nbsp; The stop condition of the for loop is i&gt;100, and since i starts at 0, i is never &gt; 100, so the loop immediately ends.</p>"
MC,633607,"","
<p>Suppose the following Java code prints ""statement 2"":</p>
<pre lang=""text/x-java"">if (num &lt; 6) {
   System.out.println(""statement 1"");
} else {
   System.out.println(""statement 2"");
}
</pre>
<p>&nbsp;</p>
<p>What must be true about num?</p>
",B,<p>greater than 6</p>,<p>greater than or equal to 6</p>,<p>less than 6</p>,<p>less than or equal to 6</p>,"<p>this program cannot print ""statement 2""</p>","","","","","",<p>The opposite of less than is greater than or equal to.&nbsp; Not just greater than.</p>
MC,632809,"","<p>Suppose <code>a</code> is <code>true<span style=""font-family: arial, helvetica, sans-serif;"">,</span></code><span style=""font-family: arial, helvetica, sans-serif;"">&nbsp;<code>b</code> is <code>false<span style=""font-family: arial, helvetica, sans-serif;"">, and <code>c</code> is <code>false</code></span></code>. Which of the following expressions is <code>true</code>?</span></p>",D,<code>b &amp;&amp; c &amp;&amp; !a</code>,<code>!a || (b || c)</code>,<p>c &amp;&amp; !a</p>,<code>!c &amp;&amp; !b</code>,<code>!!b</code>,"","","","","","
<p>Substitute:</p>
<ol>
<li>!c &amp;&amp; !b</li>
<li>!false &amp;&amp; !false</li>
<li>true &amp;&amp; true</li>
<li>true</li>
</ol>"
MC,632100,"",<p>Only one of the following will not compile and run under Quick C. Which one?</p>,C,"
<p>main(){}</p>
","
<p>&nbsp;main(void){}</p>
","
<p>int main(){return 65535;}</p>
","
<p>int main(void){return 1}</p>
",<p>void main(void){}</p>,"","","","","","<p>The semi-colon end of line delimiter occurs within a curly bracket pairing, which is not a logical combination from the compiler's parsing perspective</p>"
MC,632147,"","
<p>What is output by the code shown in the question below. Think about it carefully - it may be a bit tricky!</p>
<p>void main (void)</p>
<p>{</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; #define LIMIT 8</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; int i = 0;</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; while ( i++ &lt; LIMIT )</p>
<p>&nbsp;&nbsp;&nbsp; {</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; if ( i )</p>
<p>&nbsp;&nbsp; &nbsp; &nbsp; &nbsp; {</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; printf( ""%d"", LIMIT - i );</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; }</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; }</p>
<p>}</p>
",D,<p>Nothing</p>,<p>876543210</p>,<p>876543210-1</p>,<p>76543210</p>,<p>76543210-1</p>,"","","","","",<p>The while loop increments the index before each iteration of the loop and the resulting increased index value is subtracted from the Limit of 8.&nbsp; Thus the values printed range from 7 to 0.</p>
MC,632170,"","
<p>You are preparing test data for this function that accepts a day of the month (as a number) from the user:</p>
<p>int iGetDay(int iMonth);</p>
<p>You are currently working with a month value of 5 (May). What should your boundary test values be for iGetDay?</p>
",E,"<p>-1, 0, 30, 31</p>","<p>-1, 0, 31, 32</p>","<p>0, 1, 29, 30</p>","
<p>0, 1, 30, 31</p>
","
<p>0, 1, 31, 32</p>
","","","","","",<p>The month of May has 31 days and starts on the 1st of May.&nbsp; So the day before and the day after these boundary days consitute the boundary test conditions</p>
MC,632177,"","
<p>How many times will the printf statement be executed in this code?</p>
<p>In each case assume the definition</p>
<p>int i = 0;</p>
<p>WARNING There are some very nasty traps in some of the code here. LOOK AT IT ALL VERY CAREFULLY!</p>
<p>&nbsp;do</p>
<p>{</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; printf(""Count me!"");</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; i++;</p>
<p>} while(++i &lt; 10);</p>
",B,<p>0 </p>,<p>5 </p>,<p>&nbsp;6 </p>,<p>10 </p>,<p>11</p>,"","","","","","<p>The line i++; in the body of the loop after the printf function, in combination with the ++i preceding each iteration in the while loop, causes the index to increment twice in each iteration, so the printf function is only executed 5 times</p>"
MC,632194,"","
<p>The worst-case analysis (Big-Oh) of the following Java code is:</p>
<pre lang=""text/x-java"">for (j=0; j&lt;n; j++) {
   for (k=0; k&lt;n; k++) {
      base = base * 2;
   }
</pre>
<p><code>}</code></p>
",C,<p>O(1)</p>,<p>O(n)</p>,<p>O(n<sup>2</sup>)</p>,<p>O(log<sub>2</sub>n)</p>,<p>O(2<sup>n</sup>)</p>,"","","","","","<p>The body of the inner loop will be executed n<sup>2</sup> times. Each execution will take a constant amount of time. Thus, the total amount of time will be a function of n<sup>2.</sup></p>"
MC,632195,"","
<p>The worst-case analysis (Big-Oh) of the following Java&nbsp;code is:</p>
<p><br><code>for (j=0; j&lt;n; j++) {</code></p>
<pre lang=""text/x-java"">   base = base * 2;
}
</pre>
<p></p>
",B,<p>O(1)</p>,<p>O(n)</p>,<p>O(n<sup>2</sup>)</p>,<p>O(log<sub>2</sub>n)</p>,<p>O(2<sup>n</sup>)</p>,"","","","","","<p>The loop will be executed n times, and each time involves a certain constant amount of work.&nbsp;</p>"
MC,632221,"","
<p>Consider the following Java code:</p>
<pre lang=""text/x-java"">public interface StackADT&lt;T&gt; { // 1
   public void push (T element);
   public T pop();
   public T peek();
   public boolean isEmpty(); 
}
</pre>
<p><br><span style=""font-family: arial, helvetica, sans-serif;"">The capital letter &ldquo;T&rdquo; on line 1 stands for:</span></p>
",B,<p>a temporary value</p>,<p>the type of the items in the Stack</p>,<p>a class named T defined somewhere else in the&nbsp;program</p>,<p>the top of the stack</p>,<p>none of the above</p>,"","","","","","<p>This interface is defined using Java's generics. We can tell what the T means by looking at how it is used. &nbsp;The ""T"" in angle brackets on line 1 corresponds to the type of the parameter to <code>push</code> and the type of value returned by <code>pop</code> and <code>peek</code>. In other words, it is the type of value stored in the stack.&nbsp;</p>"
MC,632224,"",<p>The <code>StackADT</code>'s <code>push</code> operation:</p>,D,<p>adds a new item at the bottom of the Stack</p>,<p>returns without removing the top item on the&nbsp;Stack</p>,<p>removes and returns the top item on the Stack</p>,<p>adds a new item at the top of the Stack</p>,<p>returns true if the Stack is empty and otherwise&nbsp;false</p>,"","","","","","<p>""push"" is the traditional term for adding a new item to a stack. Stacks work like a pile of paper. The bottom piece of paper is the first one that was put in the pile. The top piece of paper was added most recently. When another piece of paper is added to the stack, it goes on top of the rest of the pile.</p>"
MC,632254,"",<p>Suppose you are trying to choose between an array and a linked list to store the data in your Java program. Which data structure can change size as needed while the program is running?</p>,B,<p>an array</p>,<p>a linked list</p>,<p>both</p>,<p>neither</p>,,"","","","","","<p>When initializing a Java array, you must allocate a fixed amount of memory for storing data. Linked lists vary in size depending on how much data they contain.&nbsp;</p>"
MC,632285,"","
<p>Suppose&nbsp;<code>StackADT</code>&nbsp;is implemented in Java using a linked list. The big-Oh time complexity of the following <code>pop</code> method is:</p>
<pre lang=""text/x-java"">public T pop() {
   T tmp;
   if (this.top == null) 
      tmp = null;
   else {
      tmp = this.top.getElement();
      this.top = this.top.getNext();
   }
   return tmp;
}
</pre>
",A,<p>O(1)</p>,<p>O(log n)</p>,<p>O(n)</p>,<p>O(n<sup>2</sup>)</p>,<p>O(2<sup>n</sup>)</p>,"","","","","","<p>These operations can be done in constant time, independent of the size of the stack.&nbsp;</p>"
MC,632288,"","
<p>Consider the following Java method:</p>
<pre lang=""text/x-java"">public T pop() { \\ 1
   T tmp; \\ 2
   if (this.top == null) \\ 3
      tmp = null; \\ 4
   else { \\ 5
      tmp = this.top.getElement(); \\ 6
      this.top = this.top.getNext(); \\ 7
   } \\ 8
   return tmp; \\ 9
} \\ 10
</pre>
<p>&nbsp;</p>
<p><span style=""font-family: arial, helvetica, sans-serif;"">What would happen if line 7 were before line 6?</span></p>
",C,<p>The code would not compile.</p>,"<p>The code would compile, but it wouldn't run.</p>","<p>The code would compile and run, but it would return the wrong value.</p>","<p>The code would compile and run, and it would work just the same.&nbsp;</p>",,"","","","","","<p>If the two lines are re-ordered, the code will change the value of top to the second node, and then the second value in the stack will be the one that is returned.&nbsp;</p>"
MC,632293,"","
<p>Consider the following Java method:</p>
<pre lang=""text/x-java"">public T pop() { // 1
   T tmp; // 2
   if (this.top == null) // 3
      tmp = null; // 4
   else { // 5
      tmp = this.top.getElement(); // 6
      this.top = this.top.getNext(); // 7
   } // 8
   return tmp; // 9
} // 10
</pre>
<p>&nbsp;</p>
<p><span style=""font-family: arial, helvetica, sans-serif;"">What would happen if line 7 were before line 6?</span></p>
",C,<p>The code would not compile.</p>,"<p>The code would compile, but it wouldn't run.</p>","<p>The code would compile and run, but it would return the wrong value.</p>","<p>The code would compile and run, and it would work just the same.&nbsp;</p>",,"","","","","","<p>If the two lines are re-ordered, the code will change the value of top to the second node, and then the second value in the stack will be the one that is returned.&nbsp;</p>"
MC,632137,"","
<p>What is output by the code shown below. Think about it carefully - it may be a bit tricky!</p>
<p>#define DEF_1 (2 + 2)</p>
<p>#define DEF_2 DEF_1 - DEF_1</p>
<p>int main(void)</p>
<p>{</p>
<p>printf(""%d"", DEF_2);</p>
<p>}</p>
",A,<p>0 </p>,<p>2</p>,<p>4</p>,<p>6 </p>,<p>8</p>,"","","","","",<p>The declaration of DEF_2 [DEF_1 after subtracting DEF_1 = 0 ] is the value printed.</p>
MC,632131,"","
<p>What is output by the code shown below. Think about it carefully -it may be a bit tricky!</p>
<p>void main( void )</p>
<p>{</p>
<p>static char szCode[] = ""111"";</p>
<p>szCode[2] = '0';</p>
<p>puts( szCode );</p>
<p>}</p>
",D,<p>Nothing</p>,<p>011</p>,<p>101</p>,<p>110</p>,<p>111</p>,"","","","","",<p>The value of the character in the array at index [2] (where index starts from 0)&nbsp; is set to zero and the other initialized array values remain unchanged</p>
MC,632106,"",<p>What would be the performance of removeMin and insert methods in a priority queue if it is implemented by an unsorted list?</p>,C,"<p>O(1) , O(1)</p>","
<p>&nbsp;O(1) , O(n)</p>
","
<p>&nbsp;O(n) , O(1)</p>
","<p>O(n) , O(n)</p>",,"","","","","","
<p>&nbsp;O(n) , O(1)</p>
"
MC,632107,"","
<p>Consider this code. It is part of a program that receives MMP list votes from constituencies and stores them in a database. The field PartyName stores the names of each party involved, and the field VoteTotal keeps a running total of list votes for a party. Tally is a table-type Recordset.</p>
<p>Do</p>
<p>&nbsp;&nbsp; ' Get a name and vote pair from the newly arrived text</p>
<p>&nbsp;&nbsp; ' Returns 0 when there are no more pairs</p>
<p>&nbsp;&nbsp; Start% = ExtractNextPair((txtData.Caption), Start%,_<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; PartyName$,_Votes&amp;)</p>
<p>&nbsp;&nbsp; If Start% &gt; 0 Then</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; ' See if the party name is already present</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; KeyField$ = UCase$(Trim$(PartyName$))</p>
<p>&nbsp;&nbsp;&nbsp; Tally.Seek ""="", KeyField$</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; If Tally.NoMatch Then</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; ' Add a new record</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Tally.AddNew</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Tally(""PartyName"") = KeyField$</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Tally(""VoteTotal"") = Votes</p>
<p>&nbsp;&nbsp;&nbsp; Else</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; ' Update the existing record - add latest votes</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Tally.Edit</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Tally(""VoteTotal"") = Tally(""VoteTotal"") + Votes</p>
<p>&nbsp;&nbsp;&nbsp; End If</p>
<p>&nbsp; End If</p>
<p>Loop While Start% &gt; 0</p>
<p>Tally.Update</p>
<p>Why does this code not successfully store all the incoming data?</p>
",D,"
<p>The loop logic is wrong - it should be Start% &lt; 0</p>
","
<p>There was no call to Tally.Refresh</p>
","
<p>There was no call to Tally.UpdateRecords</p>
","
<p>The line Tally.Update must come inside the loop</p>
",<p>The AddNew and Edit lines should be swapped</p>,"","","","","",<p>Because the line Tally.Update is outside the loop it is only executed once at the end of the program</p>
MC,632112,"","
<p>What node will be visited prior to E in an inorder traversal of the following tree?</p>
<p><img src=""img/46.gif"" alt=""no description""></p>
",C,<p>A</p>,<p>B</p>,<p>C</p>,<p>D</p>,,"","","","","",<p>C</p>
MC,632115,"","
<p>Consider these lines of code:</p>
<p>txtName.SetFocus</p>
<p>txtName.SelStart = 0</p>
<p>txtName.SelLength = Len(txtName.Text)</p>
<p>txtName is an edit text box which is currently visible.</p>
<p>The code may cause a run time error. This will happen if:</p>
",C,"
<p>txtName is a multiline text box.</p>
","
<p>there is no text in txtName.</p>
","
<p>txtName is currently disabled.</p>
","
<p>some of the text in txtName is currently highlighted.</p>
",<p>none of the text in txtName is currently highlighted.</p>,"","","","","",<p>A disabled edit text box may not be accessed by the setfocus method as this combination is not a logical action and therefore clashes with the underlying VB event model which controls the permissible sequences of events.</p>
MC,632116,"","<p>What would be the minimum number of required queue, to implement a stack?</p>",B,<p>1</p>,<p>2</p>,<p>3</p>,<p>4</p>,,"","","","","",<p>3</p>
MC,632117,"",<p>Which data structures would be proper in terms of performance to implement flight waiting lists?</p>,B,"
<p>Priority Queue</p>
","
<p>Heap</p>
",<p>Array</p>,<p>Linked list</p>,,"","","","","",<p>Array</p>
MC,632121,"","<p>To implement student's database, which data structure is more appropriate?</p>",C,"
<p>Heap</p>
","
<p>Binary Tree</p>
","
<p>Map</p>
",<p>Priority Queue</p>,,"","","","","","
<p>Map</p>
"
MC,632124,"","
<p>Using double hashing and following hash function and data, in which array slot number 31 will be inserted*?</p>
<p>N = 13</p>
<p>h(k) = k mod 13</p>
<p>d(k) = 7 - k mod 7</p>
<p>(h(k) + jd(k)) mod 13</p>
<p>18, 41, 22, 44, 59, 32, 31, 73</p>
<p>*Credit goes to Goodrich et.al. (Data Structures &amp; Algorithms in Java)</p>
",A,<p>0</p>,<p>5</p>,<p>9</p>,<p>10</p>,,"","","","","",<p>9</p>
MC,632125,"","
<p>Given the declaration</p>
<p><strong>Public StudentRecords as Collection</strong></p>
<p>What line of code is required before the first student record is added to the collection?</p>
",C,"
<p>StudentRecords = New Collection</p>
","
<p>Set StudentRecords = Collection</p>
","
<p>Set StudentRecords = New Collection</p>
","
<p>Set Collection = StudentRecords</p>
",<p>Set StudentRecords.New</p>,"","","","","",<p>Set assigns an object reference to the new Collection object named StudentRecords</p>
MC,632126,"","
<p>Using Dijkstra&rsquo;s Algorithm what would be the path between A and B?</p>
<p>(Picture taken from Data Structures &amp; algorithms in Java by Goodrich at. al.)</p>
<p><img src=""img/47.gif"" alt=""no description""></p>
",C,<p>AB</p>,<p>ACB</p>,<p>ACEB</p>,<p>ADCEB</p>,,"","","","","",<p>ACEB</p>
MC,632127,"","
<p>The following processes are arranged in alphabetical order:</p>
<p>1 Application event procedure is called.</p>
<p>2 Event procedure code is executed.</p>
<p>3 User clicks on a button with the mouse.</p>
<p>4 Windows detects an event.</p>
<p>5 Windows passes a message to the application containing the button.</p>
<p>In what order will these processes normally occur in a Visual Basic application?</p>
",A,"
<p>3, 4, 5, 1, 2</p>
","
<p>2, 3, 5, 4, 1</p>
","
<p>4, 3, 2, 5, 1</p>
","
<p>3, 5, 4, 1, 2</p>
","<p>&nbsp;1, 2, 3, 5, 4</p>","","","","","","
<p>The button click causes windows to detect an event and pass a message to the application containing the button.&nbsp;</p>
<p>The application event procedure is called and the event procedure code is executed.</p>
"
MC,632327,"","
<p>This Perl script does not work correctly. It is supposed to work out the average assessment mark for a student who has 6 marked exercises.</p>
<p>Whatever data the student enters, the script always displays an average mark of zero.</p>
<p>Note that line numbers have been added for reference only &ndash; they are not part of the script</p>
<p>1 my $total = 0;</p>
<p>2</p>
<p>3 for(my $mk = 1; $mk &lt;= 6; $mk++)</p>
<p>4 {</p>
<p>5&nbsp;&nbsp;&nbsp;&nbsp; print ""Enter mark $mk: "";</p>
<p>6&nbsp;&nbsp;&nbsp;&nbsp; my $mark = &lt;STDIN&gt;;</p>
<p>7&nbsp;&nbsp;&nbsp;&nbsp; my $total += $mark;</p>
<p>8 }</p>
<p>9</p>
<p>10 my $average = $total / 6;</p>
<p>11 print ""Average mark = $average.\n"";</p>
<p>What is the problem?</p>
",C,"
<p>&lt;= 6 on line 3 should be &lt;</p>
","
<p>The my on line 6 should not be there.</p>
","
<p>The my on line 7 should not be there.</p>
",<p>&nbsp;Line 10 should show $mark / 6.</p>,"
<p>A &lt;= 6 on line 3 should be &lt;</p>
<p>B The my on line 6 should not be there.</p>
<p>C The my on line 7 should not be there.</p>
<p>D Line 10 should show $mark / 6.</p>
","","","","","","
<p>A my declares the listed variables to be local (lexically) to the enclosing block, file, or eval.</p>
<p>source http://perldoc.perl.org/functions/my.html</p>
<p>Therefore the accumulated value of $total is not available to the following block where the average is calculated</p>
"
MC,632332,"","
<p>This Perl subroutine does not work correctly. It is supposed to work out whether or not a person qualifies for a discount and return the correct fare, discounted or not as the case may be. Children under 13, and elderly people 65 and over qualify for a discount.</p>
<p>The subroutine never gives a discount</p>
<p>Note that line numbers have been added for reference only &ndash; they are not part of the script</p>
<p>1 sub getDiscount</p>
<p>2 {</p>
<p>3&nbsp;&nbsp; my $age = $_[0]; # First parameter is age</p>
<p>4&nbsp;&nbsp; my $fare = $_[1]; # Second parameter is fare</p>
<p>5</p>
<p>6 &nbsp; if(($age &lt; 13) &amp;&amp; ($age &gt;= 65))</p>
<p>7&nbsp;&nbsp; {</p>
<p>8 &nbsp; $fare *= 0.9; # 10% discount</p>
<p>9&nbsp;&nbsp; }</p>
<p>11</p>
<p>12&nbsp;&nbsp; return $fare;</p>
<p>13 }</p>
<p>What is the problem?</p>
",B,"
<p>$_ on lines 3 and 4 should be @_.</p>
","
<p>The and (&amp;&amp;) on line 6 should be an or (||)..</p>
","
<p>On line 6, the &lt; should be replaced by &lt;=.</p>
",<p>The return statement on line 12 should return $_[0].</p>,,"","","","","",<p>No age can be less than 13 AND 65 and over. It should be OR.</p>
MC,632333,"","
<p>This Bash command was supposed to run a Perl script, exE1.pl from a University student's bin directory on the Cislinux server, passing it a command line argument which was a text file in the copy area. It was supposed to put the results into a text file in the student's bin directory.</p>
<p>~/bin/exE1.pl /copy/ex/exe-1.txt &gt; /bin/exe1out.txt</p>
<p>Why will this give an error?</p>
",D,"
<p>~ cannot be used at the start of a line</p>
","
<p>.txt is not a valid extension in linux</p>
","
<p>&gt; does not redirect output</p>
","
<p>Students cannot write to /bin</p>
",,"","","","","",<p>The /bin directory has restricted access for security reasons to prevent students running unauthorised code on the server or modifyng or overwriting other programs in the directory</p>
MC,632758,"","
<p>The following is a skeleton for a method called ""maxPos"":</p>
<pre lang=""text/x-java"">public static int maxPos(int[] y, int first, int last) {
/* This method returns the position of the maximum element in the
* subsection of the array ""y"", starting at position
* ""first"" and ending at position ""last"".
*/

int bestSoFar = first;

xxx missing for loop goes here

return bestSoFar;

} // method maxPos
</pre>
<p>&nbsp;</p>
<p>In this question, the missing ""for"" loop is to run ""forwards"". That is, the code should search the array from the low subscripts to the high subscripts. Given that, the correct code for the missing ""for"" loop is:</p>
",B,"<pre lang=""text/x-java"">for (int i=last; i&gt;first; i--) {
    if ( y[i] &lt; y[bestSoFar] ) {
       bestSoFar = i;
    } // if
} // for
</pre>","<pre lang=""text/x-java"">for (int i=first+1; i&lt;=last; i++) {
    if ( y[i] &gt; y[bestSoFar] ) {
       bestSoFar = i;
    } // if
} // for
</pre>","<pre lang=""text/x-java"">for (int i=last; i&gt;first; i--) {
    if ( y[i] &gt; y[bestSoFar] ) {
       bestSoFar = i;
    } // if
} // for
</pre>","<pre lang=""text/x-java"">for (int i=last; i&gt;first; i--) {
     if ( y[i] &lt; bestSoFar ) {
        bestSoFar = i
     } // if
} // for
</pre>","<pre lang=""text/x-java"">for (int i=first+1; i&lt;=last; i++) {
    if ( y[i] &gt; bestSoFar ) {
       bestSoFar = i;
    } // if
} // for
</pre>","","","","","","
<p>Explanation<br>a)</p>
<p>INCORRECT:</p>
<p>if (y[i] &lt; y[bestSoFar]) ... This is setting bestSoFar to the index of the SMALLEST number so far, but this is MAXPOS, it needs to find the highest!</p>
<p>b)</p>
<p>CORRECT:</p>
<p>The code finds the maximum position in the array, searching forwards as intended.</p>
<p>c)</p>
<p>CORRECT:</p>
<p>The loop is running backwards.</p>
<p>d)</p>
<p>INCORRECT:</p>
<p>The if statement compares y[i] with the integer bestSoFar, not what is in the array at the position bestSoFar.</p>
<p>c)</p>
<p>INCORRECT:</p>
<p>Same as c) and d)</p>
"
MC,632760,"","
<p class=""MsoPlainText""><span style=""font-family: 'Times New Roman','serif';""><span style=""font-family: arial,helvetica,sans-serif;"">The following is a skeleton for a method called ""maxPos"":<br></span></span></p>
<pre lang=""text/x-java"">public static int maxPos(int[] y, int first, int last) {
/* This method returns the position of the maximum element in the
 * subsection of the array ""y"", starting at position
 * ""first"" and ending at position ""last"".

 */

  int bestSoFar = first;

  xxx missing for loop goes here

</pre>
<p>&nbsp;</p>
<p><code>&nbsp;</code> &nbsp;<code>return bestSoFar;</code></p>
<code>} // method maxPos</code><p>&nbsp;</p>
<p><span style=""font-family: arial,helvetica,sans-serif;"">In this question<span>, the missing ""for"" loop is to run ""backwards"".&nbsp; That is, the code should search the array f<span>rom the high subscripts to the low subscripts.&nbsp; Given that, the correct code for the missing ""for"" loop is:</span></span></span></p>
",C,"<pre lang=""text/x-java"">for (int i=last; i&gt;first; i--) { 
    if ( y[i] &lt; y[bestSoFar] ) { 
       bestSoFar = i; 
   } // if 
} // for
</pre>","<pre lang=""text/x-java"">for (int i=first+1; i&lt;=last; i++) {
    if ( y[i] &gt; y[bestSoFar] ) {
       bestSoFar = i;
    } // if
} // for
</pre>","<pre lang=""text/x-java"">for (int i=last; i&gt;first; i--) { 

    if ( y[i] &gt; y[bestSoFar] ) { 

       bestSoFar = i; 

    } // if

} // for 
</pre>","<pre lang=""text/x-java"">for (int i=last; i&gt;first; i--) {
    if ( y[i] &lt; bestSoFar ) {
       bestSoFar = i
    } // if
} // for
</pre>","<pre lang=""text/x-java"">for (int i=first+1; i&lt;=last; i++) {
    if ( y[i] &gt; bestSoFar ) {
       bestSoFar = i;
    } // if
} // for
</pre>","","","","","","
<p>a)</p>
<p>INCORRECT:</p>
<p>if (y[i] &lt; y[bestSoFar])&nbsp; ... This is setting bestSoFar to the index of the SMALLEST number so far, but this is MAXPOS, it needs to find the highest!</p>
<p>b)</p>
<p>INCORRECT:</p>
<p>The loop starts at [first+1] ... This loop is not running backwards.</p>
<p>c)</p>
<p>CORRECT:</p>
<p>The code finds the maximum position in the array, searching backwards as intended.</p>
<p>d)</p>
<p>INCORRECT:</p>
<p>The if statement compares y[i] with the integer bestSoFar, not what is in the array at the position bestSoFar.</p>
<p>c)</p>
<p>INCORRECT:</p>
<p>Same as b) and d)</p>
"
MC,632765,"","
<p>The following code for a method ""minVal"" contains a logic error on a single line in the method body, on one of the four lines indicated by comments:<br><br><code>public static int minVal(int[] y, int first, int last) {</code></p>
<pre lang=""text/x-java"">/* This method returns the value of the minimum element in the
 * subsection of the array ""y"", starting at position
 * ""first"" and ending at position ""last"".
 */
 
  int bestSoFar = first;             // line 1
 
  for (int i=first+1; i&lt;=last; i++) 
  {
    if ( y[i] &lt; bestSoFar )          // line 2
</pre>
<p><code>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; bestSoFar = y[i];&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; // line 3</code><br><br><code>&nbsp; } // for</code><br><br><code>&nbsp; return bestSoFar;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; // line 4</code><br><br><code>} // method minVal</code><br><br>Which one of the four lines indicated by the comments contains the logic error?</p>
",A,<p>line 1</p>,<p>line 2</p>,<p>line 3</p>,<p>line 4</p>,,"","","","","","
<p>line 1 should be <code>int bestSoFar = y[first];</code></p>
<p>This correct code assigns the value at <code>y[first] <span style=""font-family: arial,helvetica,sans-serif;"">into</span></code> bestSoFar. <span style=""font-family: arial,helvetica,sans-serif;"">This is because the other lines are using bestSoFar to remember the best VALUE seen thus far. <br></span></p>
"
