Question,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Explanation,Author
"In the worst case, what is the complexity of insertion sort?
","O(n)
","O(n^2)
","O(n^3)
","O(log(n))
","None of the above.
","During each round of the algorithm we consider a larger set.The first time we may need to compare and shift one element.The second time we may need to compare with and shift up to two elements....The final time we may need to compare and shift up to (n - 1) elements.1 + 2 + ... + (n - 1) = roughly n^2 steps.Therefore, in the worst case, insertion sort is O(n^2).
","rm896 (rm896 - permission to this course revoked)
"
"In the worst case, what is the complexity of insertion sort?
","O(n)
","O(n^2)
","O(n^3)
","O(log(n))
","None of the above.
","During each round of the algorithm we consider a larger set.The first time we may need to compare and shift one element.The second time we may need to compare with and shift up to two elements....The final time we may need to compare and shift up to (n - 1) elements.1 + 2 + ... + (n - 1) = roughly n^2 steps.Therefore, in the worst case, insertion sort is O(n^2).
","rm896 (rm896 - permission to this course revoked)
"
"The following is a binary search tree (BST) where we have just inserted the node '13':We are trying to maintain a valid AVL tree. In this case, at what node (if any) is this tree unbalanced and what type of rotation(s) are necessary to balance the tree?
","Node '14' is unbalanced. Right rotation (i.e. a right rotation about node '14').
","Node '14' is unbalanced. Left-right rotation (i.e. a left rotation about node '12' followed by a right rotation about node '14').
","Node '12' is unbalanced. Left rotation (i.e. a left rotation about node '12')
","Node '12' is unbalanced. Right rotation (i.e. a right rotation about node '12')
","No node is unbalanced. No rotation(s) necessary.
","The balance of a node in an AVL tree is defined as the height of the left sub-tree minus the height of the right sub-tree. An AVL tree is unbalanced if the balance of a node is greater than 1 or less than -1.Therefore, we see that the node '14' is unbalanced with a balance of -2.We now want to apply a rotation (or two) to balance the tree.Clearly this will involve a right rotation at some point (as it is the left sub-tree which has the greater height). However, if we apply a right rotation straight away we will have a tree that is still unbalanced. The balance will be +2 at node '12' which has replaced node '14' as nodes '13' and '14' will both be in the right sub-tree.Therefore, we want to apply a left-right rotation which firstly does a left rotation about node '12' followed by a right rotation around node '14'.We will then end up with the following AVL tree (which is not only balanced, but perfectly balanced in fact!):
",
"What is the average number of steps to find a bucket in and open and closed hash table with a load factor of 0.99?
","Closed: 1.495 StepsOpen: 50.5Steps
","Closed: 12 StepsOpen: 1.4 Steps
","Closed: 50.5StepsOpen: 1.495Steps
","Closed: 1.4 StepsOpen: 12 Steps
",,"Open no of steps = 1 + L/2Closed no of steps = 1/2(1+1/(1-L))
",
"What is the definition of an AVL tree?
","Any tree thathas a difference of the number of nodes between any node's left and right sub-trees of at most one.
","A binary search tree that has adifference of the number of nodes between any node's left and right sub-trees of at most one.
","A heap tree in which the height of the left and right sub-trees of each node differ by at most one.
","A binary search tree in which the height of the left and right sub-trees of each node differ by at most one.
","Any tree in which the height of the left and right sub-trees of each node differ by at most one.
","https://moodle.bath.ac.uk/pluginfile.php/1144766/mod_resource/content/3/DA-Lecture15-Trees3.pdf - Definition stated on page 5
",
"What is(n)?
","The upper bound of complexity.
","The average complexity.
","The lower bound of complexity.
","The exact bound of complexity.
","The amortised average of complexity.
","https://moodle.bath.ac.uk/pluginfile.php/1117431/mod_resource/content/4/DA-Lecture04-Complexity2.pdf - page 6
",
"Which of the following statements is false?
","Divide and conquer sorting algorithms work recursively via:1. dividing the elements to be sorted into two equal sizes2. sort each of these smaller groups of elements3. combine the two groups into one large sorted list
","Unstable sorting re-orders items without taking into account their initial ordering
","Insertion Sort is useful for small already sorted datasets
","Selection Sort is astable sort
","Merge Sort works equally well regardless of the ordering of the data
","In selection sorts,the relative order of elements with the same value is not maintained.
",
"Which of the following statements are true?
","Selection Sort and Insertion Sort, are both stable.
","Merge Sort and Shell Sort are Stable and Unstable respectively.
","Heap Sort, Quick Sort and Bubble Sort are Unstable, Unstable and stable respectively.
","B and C.
","None of the above.
","Selection Sort - UnstableInsertion Sort - StableBubble Sort - StableShell Sort - UnstableQuick Sort - UnstableMerge Sort - StableHeap Sort - Unstable
",
"For ?(n2), which of the following is true.
","When n is doubled, time is increased by a factor of 8.
","Doubling n increases T by factor 4
","When doubling n, T increases only by a constant
","A constant increment of n leads to increase of T by factor
","none of the above
","For ?(n2) when n is doubled, the Time is increased by a factor 2, which is also the exponent value in the Big ? expression.
",
"How many iterations will it take to sort the following array into ascending order using a selection sort?2,5,1,3,4,6
","1
","2
","3
","4
","None of the above
","It will take 4 iterations to sort the array.
",
"Which of the following statements about linked lists and arrays is false?
","Returning an item at a particular index is faster with an Array than it is with a linked list
","Inserting a new item at the front of a linked list is faster than inserting an item at the front of an array
","Removing an item from the middle of an array is faster than removing an item from the middle of a linked list
","Arrays are easier to program and debug than linked lists
","None of the above are false
","It is faster to remove an item from the middle of a linked list as you simply update the pointers of the previous and next nodes. With an array you must shift all items to the left.
",
"A tree node which has zero children is called ___?
","a root
","a child
","a leaf
","a parent
","None of the above
","A leaf node is a tree node which has zero children.
",
"Given the following incomplete Java code for selection sort, which code must go at the place marked with X?public static void selectionSort(String[] array) { for(int i = 0; i < array.length; i ++) { int minimumIndex = i; X }}
","for(int j = i; j < array.length; j ++) { if(array[j].compareTo(array[minimumIndex]) < 0) { minimumIndex = j; } String temporaryValue = array[i]; array[i] = array[minimumIndex]; array[minimumIndex] = temporaryValue;}
","for(int j = i + 1; j < array.length; j ++) { if(array[j].compareTo(array[minimumIndex]) < 0) { minimumIndex = j; } String temporaryValue = array[i]; array[i] = array[minimumIndex]; array[minimumIndex] = temporaryValue;}
","for(int j = i + 1; j < array.length; j ++) { if(array[j].compareTo(array[minimumIndex]) < 0) { minimumIndex = j; } String temporaryValue = array[i]; array[minimumIndex] = temporaryValue;}
","for(int j = i + 1; j < array.length; j ++) { if(array[j + 1].compareTo(array[minimumIndex]) < 0) { minimumIndex = j; } String temporaryValue = array[i]; array[i] = array[minimumIndex]; array[minimumIndex] = temporaryValue;}
","for(int j = i; j < array.length; j ++) { if(array[j].compareTo(array[minimumIndex]) < 0) { minimumIndex = j; } String temporaryValue = array[i]; array[minimumIndex] = temporaryValue;}
","A - incorrect due to the for loop initialising j to i and not i + 1.B - correctC - incorrect due to swapping at the end being incompleteD - incorrect due to the if statement comparing the array[j + 1] element and not element array[j] to the array[minimumIndex] elementE - incorrect due tothe for loop initialising j to i and not i + 1, and theswapping at the end being incomplete
",
"Which of the following sorting algorithms is the fastest for an input array of integers, int[] array, which in fact is already sorted?
","void A(int[] array) { for (int i=2; i<=array.length; i++){ int j = array[i-1]; int k = i-2; while (k >= 0 && j < array[k]){ array[k+1] = array[k]; k--; } array[k+1] = j; }}
","void B(int[] array) { int i = array.length; int j = 0; for(int k=0; k < i; k++){ for(int l=1; l < (i-k); l++){ if(array[l-1] > arr[l]){ j = array[l-1]; array[l-1] = arr[l]; arr[l] = j; } } }}
","void C(int[] array) { int n = array.length; for (int i=0; i < n; i++){ int k = i; for (int j=i+1; j < n; j++){ if (array[j] < a[k]) k = j; } int l = array[i]; array[i] = array[k]; array[k] = l; }}
","A and B
","B and C
","The algorithm A is the insertion sort, B corresponds to a bubble sort and C to a selection sort. For an array which is already sorted, the insertion array is the fastest, as its time complexity is given by?(n) because the second condition in the while loop is never met (j < array[k]). Meanwhile, the time complexity of the selection sort is always?(n^2), and the time complexity of the bubble sort in this case is also?(n^2).
",
"Which of the following options is the correct output for the post-order traversal of this tree?
","4, 8, 9, 10, 12, 14, 18
","4, 9, 8, 18, 14, 12, 10
","10, 8, 4, 9, 12 ,14 18
","10, 8, 12, 4, 9, 14, 18
","None of these outputs
","The post-order traversal processes the nodes in the left subtree first. Then it processes the nodes in the right subtree. Finally, it processes the current node.
",
"How many nodes does a full binary tree of depth d have?
","2^d
","2^d - 1
","2^(d+1) - 1
","2^(d+1)
",,"The number of nodes on depth level n is 2^n, so in total a full binary tree of depth d will have 2^(d+1) - 1 nodes.
",
"Is it allowed to remove elements from a closed hash-table that uses linear probing, and why?
","Yes, if the load factor (alpha) is kept low. Otherwise, no.
","Yes, because a closed hash-table does not need to be full at all times.
","Yes, because each index in the hash-table points to a linked-list in which it is possible to freely add and remove elements.
","No, because there may be other elements with the same hash value coming after the given element.
","No, because removing an element means that another element cannot be placed at the given index afterwards by the hash function.
","A - this is false, because the load factor does not have a role to play in this answer. Even if it is kept low, the situation described in answer D may still occur.B - this is false, because this answer disregards the situation explained in answer D, below.C - this is false, because this answer refers to open hash-tables which have linked lists at each bucket/index.D - this is correct, because removing an element in a closed hash table using linear probing may lead to a premature search abortion at the empty slot, even though there may be elements with the same hash value coming after the given element being removed.E - this is false, because when an element is removed from a given index, another element can be placed there afterwards. However, it does not explain why we cannot remove an element from a closed hash-table which uses linear probing.
",
"In big O notation which of the following best describes the function f(n) = 2n + nlog(n) + 0.5^(0.5n)?
","O(n)
","O(0.5^(0.5n))
","O(log^2(n))
","O(n^2)
",,"For large enough n, 0.5^(0.5n) becomes the domination term, and is greater than the others.
",
"Which boolean expression indicates whether the objects in two linked list nodes (l and m) are the same?[using the code from the problem sheet:class ListNode { Object element; ListNode next = null; ListNode(Object e, ListNode n) { element = e; next = n; }}]
","l == m
","l.next == m.next
","l.element == m.element
","l.element.equals(m.element)
","None of the above
","class ListNode { Object element; ListNode next = null; ListNode(Object e, ListNode n) { element = e; next = n; }}In our ListNode construction, the objects of each node are stored in element.l == m would not work, as Java cannot test whether two of our ListNodes are the same in this way (by default).l.next == m.next checks whether the nodes that l and m are pointing to are the same (which would always be false by our construction).l.element == m.element can only be used for numbers.
",
"What is the runtime when using Counting Sort for sorting n numbers with maximum d digits with basis k based on their digits?
","?(n2)
","?(log n)
","?(n)
","?(dn2)
","?(k log n)
","Given that for counting sort the runtime is ?(n) to count occurrences and ?(k+n) to scan the count array andbuild the output then the runtime is?(d*(k+n)) where d and k are constants so?(n).(Lecture 12)
",
"Given an array of elements 5, 3, 6, 2, 1, 4, 7, how many iterations of h-sorting with h=2 would be required before we need to move on to h=1?
","1
","2
","3
","4
","None of the above
","1st iteration gives us: 5, 2, 1, 3, 6, 4, 72nd iteration gives us: 1, 2, 5, 3, 6, 4, 73rd iteration to check: 1, 2, 5, 3, 6, 4, 7No swaps occurred in our 3rd iteration so we are done.
",
"Which of the following statements is/are true?When using a classical binary tree node with links to implement a heap:1) It is hard to find a node's parents to do reheapification swaps2) It is hard to find the bottom-most, left-most node during extraction3) It is hard to find the bottom-most, right-most open spot to insert a new node during insertion
","Only 1
","Only 2
","Only 3
","Only 1 and 2
","All of the above
","""1) It is hard to find a node's parents to do reheapification swaps"" is correct""2) It is hard to find the bottom-most, left-most node during extraction"" is incorrect: It is hard to find the bottom-most, right-most node during extraction""3) It is hard to find the bottom-most, right-most open spot to insert a new node during insertion"" is incorrect: It is hard to find the bottom-most, left-most open spot to insert a new node during insertion(Lecture 16)
",
"What will be the output of a pre-order traversal of the following tree if each node processed is printed out? 10 / \ 4 12 / \ \ 2 6 16
","2, 4, 6, 10, 12, 16
","2, 6, 4, 12, 16, 10
","10, 4, 2, 6, 12, 16
","10, 4, 12, 2, 6, 16
","10, 12, 16, 4, 6, 2
","The pre-order traversal algorithm is as follows:void preOrder(Node cur) { if (cur == null) { return; } System.out.print(cur.value + � �); preOrder(cur.left); preOrder(cur.right);}Thus, we start at the root and print out the value 10. Then we recursively process the nodes in the left sub-tree, printing out 4, then 2.At this point the 'cur' node will be null, and thus return. Then the algorithm works its way 'upwards' printing out the values of the right sub-trees.The resulting output is:10, 4, 2, 6, 12, 16
",
"For this function what is the complexity class of Big theta (?)?for ( int i = 0; i < q * 100; i++ ) { for ( int j = 0; j < q; j++ ) { sum++; }}
","?(q)
","?(q3)
","?(q2)
","?(log(q))
",,"Lecture 5 slide 7
",
"Which of the following options is true for this tree? 8 / \ 4 12 / \ / \ 3 5 10 17 / \ / \ 2 11 15 18 / \ 14 16
","The tree is balanced and has a balance of +1
","The tree is unbalanced and has a balance of +2
","The tree is balanced and has a balance of -1
","The tree is unbalanced and has a balance of -2
",,"The tree is right-heavy. The maximum depth of left hand side of the tree is 3 (8-4-3-2) and the maximum depth of the right hand side of the tree is 4 (8-17-15-16(or-14). This means the overall balance is -3 + 4 = 1
",
"An h-sort with an h-value of 1 is equivalent to what other sorting algorithm?
","Quicksort
","Insertion Sort
","Selection Sort
","Bubble Sort
",,"Bubble sort: go through array A and if A[i]>A[i+1] swap themShell sort: go through array A and if A[i]>A[i+h] swap themHence when h=1 they're the same
",
"Which traversal is being used when you find the numbers 4, 2, 6, 1, 3, 5, 7 (in that order) for the given tree:
","In-Order Traversal
","Pre-Order Traversal
","Post-Order Traversal
","Level-Order Traversal
",,"Level-Order Traversal goes through each level of nodes at a time from left to right, therefore, it will start at the top with 4, then 2 and 6 on the 2nd row of nodes, followed by 1, 3 ,5 and 7 on the final row.
",
"How many operations does the following code take?var x = 0;for(var i = 0; i < 2; i++) { x++;}
","8
","11
","15
","9
","13
","var x = 0;This is 2 operations (declaring a variable, and assigning it a value).var i = 0;This is 2 operations (declaring a variable, and assigning it a value).i < 2; This is 1 operation (happens 3 times).i++; This is 1 operation (happens 2 times).x++; This is 1 operation (happens 2 times).Therefore, 2 + 2 + (3 x 1) + (2 x 1) + (2 x 1) = 11
","ajb258 (ajb258 - permission to this course revoked)
"
"How many operations does the following code take?var x = 0;for(var i = 0; i < 2; i++) { x++;}
","8
","11
","15
","9
","13
","var x = 0;This is 2 operations (declaring a variable, and assigning it a value).var i = 0;This is 2 operations (declaring a variable, and assigning it a value).i < 2; This is 1 operation (happens 3 times).i++; This is 1 operation (happens 2 times).x++; This is 1 operation (happens 2 times).Therefore, 2 + 2 + (3 x 1) + (2 x 1) + (2 x 1) = 11
","ajb258 (ajb258 - permission to this course revoked)
"
"When representing a graph with a very large number of nodes, is it more efficient to use a adjacency matrix oradjacency list?
","adjacency matrix
","adjacency list
","planation: Imagine a large number of nodes which may have any number of relationships with each other, a matrix requires n2 array entries, while an adjacency list contains n + ai, where i is the index of the node, and ai is the number of edges coming from that node.
","gs: Graphs
",,,"awh28 (awh28 - permission to this course revoked)
"
"If g(n) = O(f1(n)) & h(n) = O(f2(n)) then g(n) + h(n) =O(f1(n)) + O(f2(n))
","TRUE
","FALSE
","planation: g(n) + h(n) = O(Max{f1(n), f2(n)})
","gs: Complexity
",,,"gtr25 (gtr25 - permission to this course revoked)
"
"What is the worst case time complexity of insertion sort?
","
","
","
","
","
","Best case of insertion sort, when an array is nearly ordered, is , but in all other cases it is .
",
"What is the time complexity of searching an AVL tree?
","O(log n)
","O(n)
","0(n log n)
","None of the above
",,"The number of nodes left to search is halved after each element is traversed.
",
"Given the following directed graph:what is the corresponding adjacency matrix?
","
","
","
","
",,"As this is a directed graph, for every edge from i to j, [i][j] in the matrix is filled.
",
"Which Representation of a graph should you use for a dense graph?
","AnAdjacency list
","An Adjacency matrix
","planation: A graph that has many edges between the vertices is called a �dense graph�.You should use anAdjacency matrix if you have lots of edges between vertices
","gs: Graphs
",,,"guy (grmb20 - permission to this course revoked)
"
"What does it mean for a Binary Tree to be 'perfectly balanced'?
","For each node, the number of nodes in its left and right subtrees are equal.
","For each node, the number of nodes in its left and right subtrees differ by at most one.
","For each node, the values stored in the nodes of its left and right subtrees are the same.
","The height of the binary tree is less than 7.
","There are no leaf nodes in the binary tree.
","""A binary tree is �perfectly balanced� if for each node, the number of nodes in its left and right subtrees differ by at most one."" - Lecture 14 slides.
",
"What is the 'Big-Oh' time complexity of traversing a binary tree?
","O(n log n)
","O(n2)
","O(log n)
","O(n)
","O(1)
","When traversing a binary tree, each node is visitedexactly once. Therefore, for a binary tree withnnodes, the 'Big-Oh' time complexity isO(n).
",
"Which Binary Tree traversal method uses the following algorithm?Process the current nodeProcess the nodes in the left subtreeProcess the nodes in the right subtree
","Post-order
","Pre-order
","In-order
","Level-order
",,"This is the algorithm for the pre-order method.For post-order:Process the nodes in the left subtreeProcess the nodes in the right subtreeProcess the current nodeFor in-order:Process the nodes in the left subtreeProcess the current nodeProcess the nodes in the right subtreeFor level-order:Use a temp pointer variable and a queue of node pointersInsert the root node pointer into the queueWhile the queue isnot empty:Dequeue the top node pointer and store it intempProcess the nodeAdd the node's children to the queueif they arenotNULL
",
"What is the time complexity of this function?int bigSnack(int n) { int hi = 0; for (int x=0;x<n;x++) { for (int b=0;b<n;b++) { hi = hi + 5; } }return hi;}
","O(n^2)
","O(log n)
","O(n)
","O(1)
",,"each loop is run n times, so O(log n)
",
"Which of these sorts has the average time complexity of T(n log(n))
","Merge Sort
","Insertion Sort
","Selection Sort
","Bubble Sort
","None of the Above
","Merge sort has average time complexity of T(n log(n)) whereas each of the others have the time complexity ofT(n^2).
","dtfl20 (dtfl20 - permission to this course revoked)
"
"Which of these sorts has the average time complexity of T(n log(n))
","Merge Sort
","Insertion Sort
","Selection Sort
","Bubble Sort
","None of the Above
","Merge sort has average time complexity of T(n log(n)) whereas each of the others have the time complexity ofT(n^2).
","dtfl20 (dtfl20 - permission to this course revoked)
"
"Given the following tree: 13 / \ 10 16 / \ / \ 7 11 15 24what is the order of traversal when doing a pre-order traversal?
","13, 10, 16, 7, 11, 15, 24
","7, 10, 11, 13, 15, 16, 24
","13, 10, 7, 11, 16, 15, 24
","7, 11, 10, 15, 24, 16, 13
",,"A is a level-order traversal. B is an in-order traversal. C is a pre-order traversal. D is a post-order traversal.
",
"What is the big theta notation for this code:for(int i = 0; i < (1000n + 5)n; i++) { for(int j = 0; j < n2+ 7n + 2; j++ ) { acc ++; }}for(int k = 0; k < n3 + n2; k++) { sum++;}
","?(n3)
","?(n5)
","?(n4)
","?(n2)
",,"Two for loops nested within each other means that the conditions are added together so n2+ n2 is n4 .
",
"Given the matrix:0 1 0 00 0 1 00 0 0 10 0 0 0Which matrix is this the output dictating nodes which are three edges apart?
","0 1 0 00 0 1 00 0 0 10 0 0 0
","0 0 1 00 0 0 10 0 0 00 0 0 0
","0 0 0 10 0 0 00 0 0 00 0 0 0
","1 0 0 00 1 0 00 0 1 00 0 0 1
","1 0 0 00 0 0 00 0 0 00 0 0 0
","If you times the original matrix by itself three times, you get that answer.
",
"What additional property must an AVL tree have over a generic Binary Search Tree?
","The values of the children of any node differ by at most 1
","The balance of the children of any node differ by at most 1
","The height of the left and right sub-trees of any node differ by at most 1
","The root node must contain the maximum value
","The height of the left sub-tree must be less than or equal to the height of the right sub-tree
","An AVL tree is a BST in which the heights of the left and right sub-trees of each node differ at most by 1See: D&A-Lecture15-Trees3.pptx (slide 5)
",
"Which of the following ADTs is the best way to store data for a social network like Facebook?
","B- Trees.
","Hashtables.
","Undirected graphs with an adjacency matrix.
","Undirected graphs with an adjacency list.
",,"Undirected graphs are best because it is easy to visualise relationships between vertices thanks to edges. An adjacency list is the better option because of memory efficiency and the ease of adding new vertices.
",
"Which type(s) of sorting use recursion?i. Mergesort.ii. Quicksort.iii. Heapsort.
","i only.
","ii only.
","i and ii.
","All of the above.
","None of the above.
","Only mergesort and quicksort use recursion in the given options.
",
"An algorithm has runtime complexity T(n) = 4n2+16n+4. Which of the following answers describes the asymptotic time complexity of the algorithm?
","O(4n2+16n)
","O(4n2)
","O(n2)
","4 * O(n2+4n+1)
",,"We ignore all constants and only consider the highest power when trying to find the asymptotic time complexity of an algorithm.
",
"Consider two hash tables: a closed hash table with 750 buckets, 235 of which are empty; and an open hash table with 500 buckets and 275 keys inserted. What is the ratio of the average number of steps it will take to insert/find an item in the open hash table with respect to the closed hash table?
","0.603
","1.657
","0.961
","1.041
","0.215
","Start off by calculating the load factors of both hash tables, which is given by the formula L=(max # of keys to insert)/(total buckets in the array). So for closed hash table: L=(750-235)/750 =~0.69. For open hash table: L=275/500=~0.55. Now, the average number of steps to insert/find an item in closed hash table is given by #=0.5*[1+1/(1-L)], so that #=0.5*[1+1/(1-0.69)]=~2.113. For an open hash table, the average number of steps is simply given by A#=1+0.5*L, then A#=1+0.5*0.55=~1.275. Now, the ratio is #(open hash table)/#(closed hash table)=1.275/2.113=~0.603.
",
"Given the following array of a maxheap: [42,37,24,18,21,23,12,17,10,13,6,8]; what is the value of the right child of the right child of the node with value 37?
","8
","10
","13
","6
","None of the above.
","The formula for calculating the slot of the right child node is given by: rightChild(i)=2*i+2, where i is the index of the parent array. Therefore, the node with value 37 is located at index 1, then its right child is located at slot 2*1+2=4, which corresponds to 21. The right child of the node 21 is similarly found at 2*4+2=10, which corresponds to the node with value of 6.
",
"Which statement about Tree nodes is false.
","A node with 0 children is called a �leaf� node.
","Every tree has a ""root"" pointer, that points to the ""root"" node.
","Every node may have zero or more �children� nodes.
","A tree node can have one or more next pointers.
","The top node of a tree is called its ""root"" node.
","The tree node can't have one next pointer, as it needs to be able to point to at least both it's right and left child.
",
"What does a load factor of 0.9 mean?
","Your array has 10% more buckets than you need (you�ll fill 90% of the buckets).
","Your array has 90% more buckets than you need (you�ll fill 10% of the buckets).
","Your array has 10% less buckets than you need (you�ll fill 90% of the buckets).
","Your array has 90% less buckets than you need (you�ll fill 10% of the buckets).
","Your array has 90% more buckets than you need (you�ll fill 90% of the buckets).
","The �load� of a hash table is the maximum number of values (�keys�) you intend to add divided by number of buckets in the array.In simpler terms, when L = 0.9, your array is 10% bigger than required.
",
"Out of the input arrays below, which one would make the sorting algorithm, Quick Sort, most efficient.The numbers must be ordered from smallest to largest.
","[1,2,3,4,5,6]
","[1,2,3,2,2,2]
","[1,2,4,3,5,6]
","[5,2,3,1,6,4]
","[6,5,4,3,2,1]
","The run time for Quick Sort is ?(n^2) for already/mostly/reverse ordered arrays or arrays with the same value repeated many times.Quick Sort is most efficient when the array is not at all ordered, where its run time isnlog2(n).
",
"Which of the following functions has the greatest asymptotic growth? I.e. which function is the least efficient one in terms of time! (Think of O-Notation!)
","
","
","
","
",,"It is easy to see that is just a constant times n, i.e. linear growth. which is inNow differ between
",
"Is the following statement TRUE or FALSE?Quicksort is always faster than insertion sort.
","TRUE
","FALSE
","planation: If the array is sorted in ascending order, selection sort requires comparisons but quicksort requires comparisons.
","gs: Sorting
",,,"nathalie (nl586 - permission to this course revoked)
"
"What is the definition of the ""load"" of a hash table?
","Maximum number of values you intend to add divided bynumber of buckets in the array
","Total number of buckets in the array
","Maximum number of values you intend to add multiplied by number of buckets in the array
","Maximum number of values you intend to add
","None of the above
","A -Maximum number of values you intend to add divided by number of buckets in the array.(Lecture slides)
",
"Using the breadth-first graph traversal algorithm, what would the order of nodes processed be?
","1 - 2 - 3 - 4 - 5 - 8 - 9 - 6 - 7 - 10 - 11
","1 - 2 - 5 - 6 - 7 - 11 - 3 - 8 - 10 - 4 - 9
","1 - 2 - 5 - 7 - 11 - 6 - 3 - 8 - 10 - 4 -9
","1 - 2 - 3 - 4 - 9 - 8 - 10 - 5 - 7 - 6 - 11
",,,
"which of the adjacency matricesrepresent the following code:// undirected graphboolean[][] graph = new boolean[6][6]graph[3][0] = true;graph[2][1] = true;graph[4][1] = true;graph[5][2] = true;graph[0][3] = true;graph[0][5] = true;
","0 1 2 3 4 50 _ _ _ T _ _1 _ _ T _ T _2 _ _ _ _ _ T3 T _ _ _ _ _4 _ _ _ _ _ _5 T _ _ _ _ _
","0 1 2 3 4 50 _ _ _ T _ T1 _ _ _ _ _ _2 _ T _ _ _ _3 T _ _ _ _ _4 _ T _ _ _ _5 _ _ T _ _ _
","0 1 2 3 4 50 _ _ _ T _ _1 _ _ _ _ _ _2 _ T _ _ _ T3 T _ _ _ _ _4 _ T _ _ _ _5 T _ _ _ _ _
","0 1 2 3 4 50 _ _ _ T _ T1 _ _ _ _ T _2 _ T _ _ _ _3 T _ _ _ _ _4 _ _ _ _ _ _5 _ _ T _ _ _
","None of the above.
","can be found on Lecture 17 - Graphs 1 - Page 8""array[i][j] == true representsdirected edge from i to j.""where i is the columnand j is the rowgraph[0][5] = true;corresponds to the top right position in the matrix
",
"In time complexity O(log n), by what factor does T increase when n is doubled?
","Log-1(n).
","4.
","Constant.
","1.
",,"In logarithmic complexity, the doubling of n increases T by a constant factor k.
",
"Given the array representing a max heap [30,25,28,7,19,12,22], which index is the parent of 12
","0
","1
","2
","3
","4
","parent = (child - 1) / 2 index, so in this case parent = (5 - 1) / 2 = 2. The second index which is the value 28.
",
"Which tree traversal algorithm is described by the following?Visit each level's nodes from left to right before visiting nodes in the next level.
","Post-Order
","Pre-Order
","In-Order
","Level-Order
","None of the above
","Given in Lecture 13.
",
"Which of the following sorts are stable?
","Quicksort
","Selection Sort
","Insertion Sort
","Shell Sort
","None of the above
","Covered in lectures 10 & 11.
",
"In graph theory, the handshaking lemma states that ""In any finite undirected graph, the number of vertices with odd degree is even"".The lemma is a consequence of thedegree sum formula: for a graph with vertex set and edge set .Work out the sum of degrees of the vertices for the following undirected graph:
","20
","24
","26
","10
","13
","EXPECTED METHOD:If we follow thedegree sum formula = number of edges = 13 = 26ALTERNATIVE METHOD:Degree of each node:A = 3 B = 3 C = 1 D = 3 E = 5 F = 1 G =3 H = 1 I = 5 J = 1Sum of degrees:3 + 3 + 1 + 3 + 5 + 1 + 3 + 1 + 5 + 1= 26 = 26More information found here:- https://en.wikipedia.org/wiki/Degree_(graph_theory)-https://en.wikipedia.org/wiki/Handshaking_lemma
",
"In an open Hashtable, we want to store 2000 elements and be able to find any in around 1.40 steps. How many buckets should our Hashtable have?
","4000
","2500
","2000
","5600
","None of the above
","Using the following formula for an open Hashtable:ave. number of steps = 1 + L/2,we find L = 0.8.Then using the formula for the load L:0.8 = max. number of elements to insert / total buckets,we get 0.8 = 2000 / total buckets, and thus total buckets = 2500.
",
"What happens if you multiply an adjacency matrix by itself?
","Nothing
","The result now represents vertices that are two edges apart
","The result now represents vertices that are three edges apart
","It reverses the direction of edges in the graph
",,"If you multiply an adjacency matrix by itself, the result shows vertices that are two edges apart. If you then mulitply this result by the original adjacency matrix again, that result will then show vertices that are three edges apart, and so on.
",
"What is the average time complexity of Interpolation Search, an improved Binary Search algorithm, on a sorted array of N uniformly distributed elements?
","?(N)
","?(log(N))
","?(vN)
","?(log(log(N)))
","?(N^1.25)
","Given in lecture 2.
",
"Which of the following can you NOT use to represent a directed graph?
","A diagram with circles representing vertices, and lines connecting these circles, representing edges.
","A two-dimensional array, with the vertices represented by the indices of array, and edges represented by the values in the cells of the array
","A stack, where each vertex is pushed to the stack and edges are represented by the order that the vertices are pushed to the stack.
","An array of linked lists, where there is a linked list for every vertex, and the linked list represents the edges of that particular vertex.
",,"A stack can be used in the implementation of traversing a graph, but not for representing the graph.
",
"What is the time complexity of insertion and look up when using hash tables?
","constant
","n
","nlogn
","n^2
",,"It is constant
",
"What makes a sorting algorithm 'stable'?
","The algorithm ensures that the sorted order is from small to large.
","The algorithm sorts in a complexity of log(N).
","The algorithm maintains the order of all items as they were originally entered.
","The algorithm keeps the entered order of items of equal value.
","The algorithm uses the same number of iterations for each sort.
","The algorithm is called a stable algorithm if the original order of equal value items is maintained rather than any additional sorting being performed. This is helpful when order of item entry is relevant to the task.
",
"What is the main condition of a mixed graph (ADT) in terms ofn and m?n = number of directed edgesm = number of undirected edges
","
","
","
","
","
","A mixed graph consists of a set of vertices (or nodes) V, a set of undirected edges, and a set of directed edges.Hence for a mixed graph to exist, the number of directed and undirected edges does not matter as long as .Example:More information found here:https://en.wikipedia.org/wiki/Mixed_graph
",
